,player_key,Pos,PTS,AST,STL,BLK,TRB,TOV,PF,Salary
41,Drew Eubanks,C,7.7,1.2,0.4,0.6,5.4,1.1,1.7,1836090
42,Jeremiah Robinson-Earl,C,7.5,1.0,0.6,0.3,5.6,0.8,1.5,2000000
43,Alperen Şengün,C,9.6,2.6,0.8,0.9,5.5,2.0,3.0,3375360
44,Jonas Valančiūnas,C,17.8,2.6,0.6,0.8,11.4,2.4,3.3,14700000
45,Karl-Anthony Towns,C,24.6,3.6,1.0,1.1,9.8,3.1,3.6,33833400
46,Myles Turner,C,12.9,1.0,0.7,2.8,7.1,1.3,2.8,18000000
47,Gorgui Dieng,C,3.5,0.8,0.3,0.3,2.8,0.5,1.2,1836090
48,Lamar Stevens,PF,6.1,0.7,0.5,0.3,2.6,0.7,1.7,1782621
49,Scottie Barnes,PF,15.3,3.5,1.1,0.7,7.5,1.8,2.6,7644600
50,Kevin Durant,PF,29.9,6.4,0.9,0.9,7.4,3.5,2.1,44119845
51,Jae Crowder,PF,9.4,1.9,1.4,0.4,5.3,0.8,2.6,10183800
52,Jae'Sean Tate,PF,11.8,2.8,0.9,0.5,5.4,1.8,3.7,7065217
53,John Collins,PF,16.2,1.8,0.6,1.0,7.8,1.1,3.0,23500000
54,Evan Mobley,PF,15.0,2.5,0.8,1.7,8.3,1.9,2.1,8478720
55,Trey Lyles,PF,10.5,1.2,0.4,0.4,5.1,1.0,1.6,2625000
56,Jaden McDaniels,PF,9.2,1.1,0.7,0.8,4.2,1.1,3.2,2161440
57,Doug McDermott,PF,11.3,1.3,0.3,0.1,2.3,0.8,1.5,13750000
58,Giannis Antetokounmpo,PF,29.9,5.8,1.1,1.4,11.6,3.3,3.2,42492492
59,Brandon Clarke,PF,10.4,1.3,0.6,1.1,5.3,0.5,1.9,4343920
60,Kyle Anderson,PF,7.6,2.7,1.1,0.7,5.3,1.0,1.6,8780488
61,Dorian Finney-Smith,PF,11.0,1.9,1.1,0.5,4.7,1.0,2.3,12402000
62,Xavier Tillman Sr.,PF,4.8,1.2,0.9,0.3,3.0,0.6,1.2,1782621
63,Obi Toppin,PF,9.0,1.1,0.3,0.5,3.7,0.8,1.4,5348280
64,P.J. Tucker,PF,7.6,2.1,0.8,0.2,5.5,0.9,2.3,10490000
65,Jarred Vanderbilt,PF,6.9,1.3,1.3,0.6,8.4,1.0,2.4,4374000
66,DeMar DeRozan,PF,27.9,4.9,0.9,0.3,5.2,2.4,2.3,27300000
67,Jalen Smith,PF,9.2,0.5,0.3,0.8,6.0,0.8,1.9,4670160
